"Id_Asistencia","Materia","Software","Profesor Encargado","Programa Curricular","Nivel académico","Fecha","Día de la semana","Horario","Número de participantes","Semestre","Semana del semestre","Nombre del monitor","Estado","","","","","","","","","","","",""
"AD20170121","Economía Política II","Moodle","José Guillermo García","Economía","Pregrado","15/03/2017","Wednesday","14:00- 16:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"AD20170122","Fundamentos de Administración","Herramientas Bibliográficas","Liliana Chicaiza","Administración de Empresas","Pregrado","16/03/2017","Thursday","14:00- 16:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"AD20170123","Investigación de Mercados","SPSS","Herbert Bermúdez","Administración de Empresas","Pregrado","17/03/2017","Friday","11:00- 13:00","N/A","2017-I","7","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","18/03/2017","Saturday","Ninguno","Ninguno","2017-I","7","Ninguno","","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","20/03/2017","Monday","Ninguno","Ninguno","2017-I","8","Ninguno","","","","","","","","","","","","",""
"AD20170124","Fundamentos de Administración","Herramientas Bibliográficas","Liliana Chicaiza","Administración de Empresas","Pregrado","21/03/2017","Tuesday","14:00- 16:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170125","Fundamentos de Finanzas","Excel","David Hernández","Administración de Empresas","Pregrado","22/03/2017","Wednesday","14:00- 16:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170126","Gestión de las operaciones y la producción II","SAP","Carlos Eduardo Martinez","Administración de Empresas","Pregrado","22/03/2017","Wednesday","18:00- 20:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170127","Investigación de Mercados","SPSS","Herbert Bermúdez","Administración de Empresas","Pregrado","22/03/2017","Wednesday","11:00- 13:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170128","Fundamentos de Administración","Herramientas Bibliográficas","Liliana Chicaiza","Administración de Empresas","Pregrado","23/03/2017","Thursday","14:00- 16:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170129","Investigación de Mercados","SPSS","Herbert Bermúdez","Administración de Empresas","Pregrado","24/03/2017","Friday","11:00- 13:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170130","Maestría en Contabilidad y Finanzas","NVIVO","Zuray Malgarejo","Maestría en Contabilidad y Finanzas","Posgrado","25/03/2017","Saturday","08:00- 11:00","N/A","2017-I","8","","DICTADA","","","","","","","","","","","",""
"AD20170131","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","27/03/2017","Monday","09:00- 11:00","N/A","2017-I","9","","DICTADA","","","","","","","","","","","",""
"AD20170132","Investigación de Mercados","SPSS","Herbert Bermúdez","Administración de Empresas","Pregrado","27/03/2017","Monday","11:00- 13:00","N/A","2017-I","9","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","28/03/2017","Tuesday","Ninguno","Ninguno","2017-I","9","Ninguno","","","","","","","","","","","","",""
"AD20170133","Fundamentos de Finanzas","Excel","David Hernández","Administración de Empresas","Pregrado","29/03/2017","Wednesday","14:00- 16:00","N/A","2017-I","9","","DICTADA","","","","","","","","","","","",""
"AD20170134","Economía Política II","Moodle","José Guillermo García","Economía","Pregrado","30/03/2017","Thursday","14:00- 16:00","N/A","2017-I","9","","DICTADA","","","","","","","","","","","",""
"AD20170135","Metodología de la Investigación II","SPSS","Luz Angela Rodríguez","Economía","Pregrado","31/03/2017","Friday","09:00- 11:00","N/A","2017-I","9","","DICTADA","","","","","","","","","","","",""
"AD20170136","Escalas de Medición aplicables a Marketing","NVIVO","Sandra Patricia Berrio","Administración de Empresas","Posgrado","01/04/2017","Saturday","10:00- 13:00","N/A","2017-I","9","","DICTADA","","","","","","","","","","","",""
"AD20170137","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","03/04/2017","Monday","09:00- 11:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170138","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","04/04/2017","Tuesday","14:00- 16:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170139","Economía Latinoamericana","NVIVO","Luz Angela Rodríguez","Economía","Pregrado","05/04/2017","Wednesday","09:00- 11:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170140","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","06/04/2017","Thursday","14:00- 16:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170141","Metodología de la Investigación II","SPSS","Luz Angela Rodríguez","Economía","Pregrado","06/04/2017","Thursday","09:00- 11:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170142","Economía Latinoamericana","NVIVO","Luz Angela Rodríguez","Economía","Pregrado","07/04/2017","Friday","09:00- 11:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170143","Metodología de la Investigación II","NVIVO","Luz Angela Rodríguez","Economía","Pregrado","07/04/2017","Friday","09:00- 11:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","08/04/2017","Saturday","Ninguno","Ninguno","2017-I","10","Ninguno","","","","","","","","","","","","",""
"AD20170144","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","10/04/2017","Monday","09:00- 11:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170145","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","11/04/2017","Tuesday","14:00- 16:00","N/A","2017-I","10","","DICTADA","","","","","","","","","","","",""
"AD20170146","Estrategia de Mercados","SPSS","Alvaro Viña","Administración de Empresas","Pregrado","17/04/2017","Monday","09:00- 11:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"AD20170147","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","18/04/2017","Tuesday","14:00- 16:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"AD20170148","Sistemas de Información","SAP","Adriana Montaño","Administración de Empresas","Pregrado","18/04/2017","Tuesday","18:00- 20:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"","Ninguno","Ninguno","Ninguno","Ninguno","Ninguno","19/04/2017","Wednesday","Ninguno","Ninguno","2017-I","11","Ninguno","","","","","","","","","","","","",""
"AD20170149","Contabilidad del Proceso Contable","Siigo","Laura Natalia Purgarín","Contaduría Pública","Pregrado","20/04/2017","Thursday","14:00- 16:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"AD20170150","Sistemas de Información","SAP","Adriana Montaño","Administración de Empresas","Pregrado","20/04/2017","Thursday","18:00- 20:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
"AD20170151","Metodología de la Investigación II","NVIVO","Luz Angela Rodríguez","Economía","Pregrado","20/04/2017","Thursday","09:00- 11:00","N/A","2017-I","11","","DICTADA","","","","","","","","","","","",""
