Semana del semestre,Software,Id_Asistencia,Cantidad Total,Probabilidad
3,Cesim Global Challenge,2,2,0.09090909090909091
3,Google Meet,2,2,0.09090909090909091
3,Moodle,2,2,0.09090909090909091
3,Excel Macros,1,1,0.045454545454545456
3,Facebook,1,1,0.045454545454545456
3,NVivo,1,1,0.045454545454545456
3,Python,1,1,0.045454545454545456
3,SPSS,1,1,0.045454545454545456
3,World Office,1,1,0.045454545454545456
3,Youtube Live,1,1,0.045454545454545456
3,Ninguno,0,0,0.0
2,Excel,5,5,0.3333333333333333
2,Moodle,2,2,0.13333333333333333
2,Siigo,2,2,0.13333333333333333
2,Cesim Global Challenge,1,1,0.06666666666666667
2,Google Classroom,1,1,0.06666666666666667
2,Google Meet,1,1,0.06666666666666667
2,Microsoft Project,1,1,0.06666666666666667
2,R,1,1,0.06666666666666667
2,Referenciación,1,1,0.06666666666666667
2,Ninguno,0,0,0.0
1,Excel,4,4,0.16
1,Drive,2,2,0.08
1,Moodle,2,2,0.08
1,NVivo,2,2,0.08
1,Python,2,2,0.08
1,Zoom,2,2,0.08
1,Cesim Global Challenge,1,1,0.04
1,Cesim Hospitality,1,1,0.04
1,Cesim Retail,1,1,0.04
1,Classroom,1,1,0.04
1,Edición página web FCE,1,1,0.04
1,Google Classroom,1,1,0.04
1,Google Meet,1,1,0.04
1,Matlab,1,1,0.04
1,Meet,1,1,0.04
1,Mendeley,1,1,0.04
1,Nvivo,1,1,0.04
1,Ninguno,0,0,0.0
0,Ninguno,0,0,
